nome_equip_urbano,tipo_equip_urbano,endereco_equip_urbano,codigo_logradouro,lei_equip_urbano,nome_oficial_equip_urbano,area,perimetro,codigo_bairro,nome_bairro,latitude,longitude,area_m2,bairro_normalizado
Mercia De Albuquerque,Praça,Rua Capitao Manuel De Aguiar/Rua Capitao Francisco Coutinho/Rua Capitao Sebastiao Ferreira,74314.0,,Praça Mercia de Albuquerque,"1612,206414","157,4365621",850,Areias,-8.095123619,-34.93238217,1612.206414,AREIAS
Olavo Bilac,Praca,Rua Do Hospicio/ Rua Do Principe,119725.0,14478/82,Praça Olavo Bilac,"3360,559604","435,4005371",108,Santo Amaro,-8.057103901,-34.88299549,3360.559604,SANTO AMARO
Des. Carlos Xavier Paes Barreto/Pais E Filhos,Praça,Rua Vicente Licinio/ Avenida Senador Robert Kennedy/ R Manoel Bekmann/ Rua Anita Garibaldi,98566.0,15961/94,Praça Desembargador Carlos Xavier Paes Barreto,"1596,810785","157,1561337",213,Ipsep,-8.118049717,-34.92051981,1596.810785,IPSEP
Aleixo De Oliveira,Praça,Rua Aristides Lobo/Rua Adolfo Faro/Rua Helio Brandao,65994.0,02863/54,Praça Aleixo de Oliveira,"9872,531916","444,0994093",213,Ipsep,-8.112473679,-34.92441046,9872.531916,IPSEP
Sebastião Malta/ Sesquicentenário,Praça,Rua Alberto Lundgren / Avenida Dona Carentina / Avenida Governador Roberto Silveira,66931.0,10551/72,Praça Sebastião Malta,"3025,505849","208,3029448",221,Jordao,-8.136669744,-34.9369309,3025.505849,JORDAO
Marcantonio Vilaca/ Das Cassuarinas,Praça,Rua Alexandrino Martins Rodrigues / Rua Joaquim Carneiro Da Silva / Rua Mario Gomes De Matos,75035.0,16606/00,Praça Marcantônio Vilaça,"7929,669573","380,7024437",248,Pina,-8.098990627,-34.88932383,7929.669573,PINA
Brigadeiro Ivo Borges/ Seleção 70,Praça,Avenida Armindo Moura / R Capitao Lopes Braganca / R Eugenio Coimbra Junior/R General Charles De Gaulle,89494.0,10.367/71,Praça Selecao 70,"5433,435654","312,3651693",205,Boa Viagem,-8.150688881,-34.91047983,5433.435654,BOA VIAGEM
Da Rua Carlos Gomes / Do Cavalo Dourado,Praça,Rua Gomes Taborda / R Carlos Gomes,119784.0,,Praça da Rua Carlos Gomes/ do Cavalo Dourado,"228,4562746","53,58246286",663,Prado,-8.059028696,-34.91222267,228.4562746,PRADO
Do Derby,Praça,Avenida Governador Agamenon Magalhaes/Rua Jener De Souza,66290.0,,Praça do Derby,"13334,32713","508,0785719",140,Derby,-8.056286413,-34.89910823,13334.32713,DERBY
Do Derby,Praça,Avenida Governador Agamenon Magalhaes/Rua Jener De Souza,66290.0,,Praça do Derby,"13021,8582","496,0345482",140,Derby,-8.057136516,-34.89908761,13021.8582,DERBY
Poeta Fernando Pessoa/Nossa Senhora De Fátima,Praca,Rua Amaro Bezerra,15369.0,15268/89,Praça Poeta Fernando Pessoa,"1362,496282","149,2592532",140,Derby,-8.055958926,-34.90106576,1362.496282,DERBY
Correia De Araujo / Do Entroncamento,Praça,Avenida Rui Barbosa/Avenida Cons Rosa E Silva,66370.0,00033/37,Praça do Entroncamento,"5841,829382","371,3801656",167,Gracas,-8.050457829,-34.897231,5841.829382,GRACAS
Da Feb (Força Expedicionaria Brasileira),Praça,Rua Quarenta E Oito / Rua Amapa,66435.0,00579/49,Praça da FEB,"1203,000481","189,6741944",132,Aflitos,-8.040594222,-34.89473909,1203.000481,AFLITOS
Capiba,Praça,Rua Manoel Brandao/R Urca / Para,100501.0,16897/03,Praça Capiba,"1716,461909","259,5106646",353,Cajueiro,-8.009030103,-34.88522124,1716.461909,CAJUEIRO
Onze De Junho,Praça,Rua Moraes De Inhama/Avenida Cruz Cabuga/Rua Dona Leonor Porto,66753.0,,Praça Onze de Junho,"9271,832019","451,6879406",108,Santo Amaro,-8.044146364,-34.87414291,9271.832019,SANTO AMARO
Onze De Junho,Praça,Avenida Prefeitom Artur Lima Cavalcanti,66753.0,,Praça Onze de Junho,"1132,427383","149,8534553",108,Santo Amaro,-8.045000556,-34.87471854,1132.427383,SANTO AMARO
Melvin Jones,Praça,Rua Padre Roma/Rua Sebastiao Malta Arcoverde,66656.0,09765/67,Praça Melvin Jones,"901,3195872","149,8376561",469,Parnamirim,-8.033058472,-34.90728339,901.3195872,PARNAMIRIM
Mano Teodosio,Praça,Estra Real Do Poco,96784.0,15630/92,Praça Mano Teodósio,"70,8079734","36,81935482",477,Poco,-8.036080917,-34.92464338,70.8079734,POCO
De Apipucos,Praça,Rua Apipucos  / Rua Alianca,108839.0,,Praça de Apipucos,"1448,202254","243,5215948",507,Apipucos,-8.020943313,-34.93562139,1448.202254,APIPUCOS
Vila Do Moinho,Praça,Estrada De Belem/Rua Castro Alves,77232.0,,Praça Vila do Moinho Recife,"210,3218416","69,95004306",175,Encruzilhada,-8.037152315,-34.89067859,210.3218416,ENCRUZILHADA
Othon Bezerra De Melo,Praça,Rua Regina/ Rua Ana/ Rua Ida,66770.0,06397/60,Praça Othon Bezerra de Melo,"1060,21374","115,4269351",582,Macaxeira,-8.015465916,-34.92860365,1060.21374,MACAXEIRA
Largo Da Encruzilhada,Praça,Avenida Joao De Barros/Rua Dr Jose Maria/Avenida Beberibe,21415.0,,Largo da Encruzilhada,"1718,357169","265,1192845",175,Encruzilhada,-8.037350908,-34.89142217,1718.357169,ENCRUZILHADA
Professor Ageu Magalhães,Praça,Rua Jenner De Souza,65897.0,02359/55,Praça Professor Ageu Magalhães,"649,8328252","106,7952819",140,Derby,-8.05733666,-34.90025304,649.8328252,DERBY
Manuel Markman,Praca,Joao Tude De Melo,6971.0,1578893,Praça Manuel Markman,"1021,657241","169,4780011",469,Parnamirim,-8.036620728,-34.90947217,1021.657241,PARNAMIRIM
Jose Sales Filho,Praca,Avenida Beira Rio,89460.0,13531/78,Praça José Sales Filho,"1603,94372","182,9870197",655,Torre,-8.044528018,-34.90482779,1603.94372,TORRE
Doutor Pedro Alves Neto,Praça,Avenida Beberibe/ Rua Da Regeneracao,120154.0,16068/95,Praça Doutor Pedro Alves Neto,"198,166606","65,58093217",337,Agua Fria,-8.018591518,-34.89320584,198.166606,AGUA FRIA
Doutor Pedro Alves Neto,Praça,Avenida Beberibe/ Rua Dr Eudes Costa,120154.0,16068/95,Praça Doutor Pedro Alves Neto,"227,2885913","72,23527866",337,Agua Fria,-8.01839404,-34.89336753,227.2885913,AGUA FRIA
Profeta Joseph Smith,Praça,Avenida Engenheiro Domingos Ferreira,86487.0,14706/85,Praça Profeta Joseph Smith,"804,7101549","199,8434613",248,Pina,-8.098106912,-34.88634993,804.7101549,PINA
Professor Dr Antonio Figueira/ Estrada Real Do Poco,Praça,Estrada Real Do Poco,78255.0,16855/03,Praça Professor Doutor Antônio Figueira,"358,8856272","80,66643556",477,Poco,-8.03549863,-34.92324247,358.8856272,POCO
Josenildo Paes Barreto,Praça,Rua Joao Elisio Ramos/ Rua Dr Joao Marques,75175.0,15107/88,Praça Josenildo Paes Barreto,"484,3838078","85,55103956",760,Ilha Do Retiro,-8.06303777,-34.90501267,484.3838078,ILHA DO RETIRO
Dom  Miguel  Valverde,Praça,Rua Amaro Coutinho/Rua Fernando Cesar/R Inacio Galvao Dos Santos,66699.0,5463/59,Praça Dom Miguel Valverde,"3166,228127","260,3353836",175,Encruzilhada,-8.03553322,-34.89271976,3166.228127,ENCRUZILHADA
Abc,Praça,Rua Jose Bezerra Cavalcante/Avenida Manoel Goncalves Da Paz/R Jetucupapo/R Neto Campelo Junior,119687.0,10531/72,Praça A.B.C,"5212,5892","304,1139393",787,Mustardinha,-8.073494139,-34.91860271,5212.5892,MUSTARDINHA
Jornalista Antônio Teixeira Junior,Praça,Avenida Engenheiro Domingos Ferreira / Rua Viscinde De Jequitinhonha,119695.0,14.518/83,Praça Jornalista Antônio Teixeira Junior,"1020,981431","144,5287282",205,Boa Viagem,-8.129670524,-34.90246713,1020.981431,BOA VIAGEM
Alberto Pinto,Praça,Rua Arnobio Marques/ Avenida Agamenon  Magalhaes,119679.0,13698/79,Praça Alberto Pinto,"2083,579927","196,662",108,Santo Amaro,-8.045053479,-34.88864,2083.579927,SANTO AMARO
Faca Cega,Praça,Rua Currais Novos / Rua Guama / Rua Gurupa / Rua Mecejana,119733.0,,Praça Faca Cega,"649,8076224","101,8895872",884,Cohab,-8.119843092,-34.95611551,649.8076224,COHAB
Da  Rua Dr Julio Campelo,Praça,Rua Dr Julio Campelo/Rlucilo Varejao/ Rua Jose Pessoa De Queiroz,119750.0,,Praça Doutor Júlio Campelo,"318,2000338","79,48062686",698,Iputinga,-8.032431242,-34.93133529,318.2000338,IPUTINGA
Jornalista Otávio Sarmento Cardoso/Coliseu,Praça,Rua Prof Otavio Sarmento Cardoso/ R Torres Gomes/ R Dr Jose Munguba Sobrinho,119768.0,,Praça Jornalista Otávio Sarmento Cardoso/Coliseu,"246,0770681","70,80642795",736,Varzea,-8.037252355,-34.95602863,246.0770681,VARZEA
Angélica,Praça,Rua Angelica/ Rua Claudio Brotherhood,119776.0,,Praça Angélica,"551,8575551","103,2263689",680,Cordeiro,-8.053687749,-34.93151417,551.8575551,CORDEIRO
Movicar,Praça,Rua Capitao Joao Lopes/R Capitao Vicente Moutinho/R Capitao Jeronimo Amaral,119792.0,,Praça Movicar,"1906,669984","172,7378119",850,Areias,-8.093465192,-34.93254057,1906.669984,AREIAS
Das Crianças,Praça,Rua Luiz Sepulveda/Rua Capitao Paulo Teixeira/Rua Capitao Domingos Da Costa,119806.0,,Praça das Criancas,"5563,874378","367,0164975",850,Areias,-8.098665789,-34.93360387,5563.874378,AREIAS
Pedro Brandão,Praça,Rua Jeronimo Inojosa/Rua Sargento Afonso Rodrigues/R Francisco Do Rego/R Capitao Francisco Da Rocha,119814.0,,Praça Pedro Brandão,"1600,907408","154,5103328",850,Areias,-8.097704971,-34.93173386,1600.907408,AREIAS
Eduardo Cardoso/Gregorio Albuquerque,Praça,Rua Alvaro Fragoso/R Bento Teixeira/R Capitao Gregorio De Albuquerque/Trv Capitao G De Albuquerque,119822.0,,Praça Eduardo Cardoso/Gregório Albuquerque,"7385,393837","403,7780218",850,Areias,-8.09643717,-34.93142046,7385.393837,AREIAS
Irmã Douraci,Praça,Largo Da Mustardinha/Avenida Manoel Goncalves Da Paz/,119849.0,,Praça Irmã Douraci,"615,1753193","100,255174",787,Mustardinha,-8.07181677,-34.91832397,615.1753193,MUSTARDINHA
El Salvador,Praça,Avenida Sao Paulo,119865.0,,Praça El Salvador,"158,2687097","56,59002081",868,Jardim Sao Paulo,-8.076677599,-34.94207711,158.2687097,JARDIM SAO PAULO
Noel Rodrigues,Praça,Rua Guy Bastos Junior/ R Comendador Franco Ferreira/Trv Comendador F Ferreira/ Avenida General San Martin,119881.0,,Praça Noel Rodrigues,"3222,074603","252,5391923",817,San Martin,-8.067143641,-34.92752222,3222.074603,SAN MARTIN
Noel Rodrigues,Praça,Rua Guy Bastos Junio/ Rua Comendador Franco Ferreira/ Avenida General San Martin,119881.0,,Praça Noel Rodrigues,"961,6499243","128,0668166",817,San Martin,-8.066568087,-34.92736969,961.6499243,SAN MARTIN
Dom Bosco,Praça,Rua Mineirolandia/Rua Tenente Mindelo,119890.0,,Praça Dom Bosco,"130,0923685","51,46351917",817,San Martin,-8.075048933,-34.9299451,130.0923685,SAN MARTIN
Nossa Senhora De Fátima,Praça,Rua Professor Silvio Da Cunha Santos/R Dr Telesphoro Fragoso/Rua Pedro Melo,119903.0,,Praça Nossa Senhora de Fátima,"1324,103831","188,0204128",817,San Martin,-8.072333057,-34.93061711,1324.103831,SAN MARTIN
Professora Antonia Galvão,Praça,Rua Alegre / R Julio Ramos/ Rua Zeferino Agra,119920.0,,Praça professora Antonia Galvão,"269,0575661","74,04703771",337,Agua Fria,-8.021164799,-34.89318526,269.0575661,AGUA FRIA
Desenhista Eulino Santos,Praça,Rua Da Regeneracao/R Desenhista Eulino Santos,119938.0,,Praça desenhista Eulino Santos,"1439,129443","204,7189888",329,Arruda,-8.022917866,-34.88311476,1439.129443,ARRUDA
Do Cajueiro,Praça,Rua Tenente Wanderley/R Maria Cristina Tasso De Souza/R Couto Soares,119946.0,,Praça do Cajueiro,"1123,398111","147,4336388",353,Cajueiro,-8.01281867,-34.88307815,1123.398111,CAJUEIRO
Sementes Do Amanhã,Praça,Avenida Sebastiao Salazar/ Rua Couto Soares,119954.0,,Praça Sementes do Amanhã,"226,0414424","61,83185874",310,Campina Do Barreto,-8.013098914,-34.88177275,226.0414424,CAMPINA DO BARRETO
Do Colégio Jarbas Pernambucano,Praça,Avenida Sebastiao Salazar/ Rua Barao De Tamandare,119970.0,,Praça do Colégio Jarbas Pernambucano,"802,8852493","110,9358189",353,Cajueiro,-8.011087595,-34.88380149,802.8852493,CAJUEIRO
Lagoa Do Araça,Parque,Rua Jose Ferreira Lins / Rua Engenheiro Jose Brandao Cavalcante,124273.0,,Praça Lagoa do Araça,"148288,3743","1509,688659",264,Imbiribeira,-8.094360461,-34.91491461,148288.3743,IMBIRIBEIRA
Radio Capibaribe,Praça,Rua Coronel Urbano Ribeiro De Sena/Rua Noroeste,119989.0,,Praça Rádio Capibaribe,"1744,478146","165,9812508",310,Campina Do Barreto,-8.014349772,-34.88321901,1744.478146,CAMPINA DO BARRETO
Radio Capibaribe,Praça,Rua Coronel Urbano Ribeiro De Sena,119989.0,,Praça Rádio Capibaribe,"807,3316781","148,7562522",310,Campina Do Barreto,-8.013924604,-34.88304571,807.3316781,CAMPINA DO BARRETO
Da Igreja,Praça,Rua Capitao Pero Miranda,123625.0,,Praça da Igreja,"859,1078349","128,7127723",884,Cohab,-8.129980705,-34.94806974,859.1078349,COHAB
Da Comar,Praça,Rua Joao Cavalcante Petribu/Rua Hidelbrando De Vasconcelos,122025.0,,Praça do Comar,"477,2616045","97,36195339",396,Dois Unidos,-7.990179773,-34.91556605,477.2616045,DOIS UNIDOS
Raizes,Praça,Rua Engenho Bem Querer / Rua Engenho Bela Flor / R Engenho Barra Branca / R Engenho Bela Rosa,122033.0,,Praça Raizes,"667,0092044","98,37639046",884,Cohab,-8.112185887,-34.95060483,667.0092044,COHAB
Da Amizade,Praça,Rua Leila Felix Karam/Rua Dr Aniceto Ribeiro Varejao/R Des Capistrano De Moraes E Silva,122041.0,,Praça da Amizade,"799,5704709","133,0276174",701,Torroes,-8.065087774,-34.93222682,799.5704709,TORROES
Do Fundão,Praça,Avenida Beberibe,122068.0,,Praça do Fundão,"2191,966077","327,127136",345,Fundao,-8.013909336,-34.88944698,2191.966077,FUNDAO
Professor Trajano,Praça,Rua Prof Trajano De Mendonca / R Jose De Holanda / R Real Da Torre,122050.0,,Praça Professor Trajano,"201,0721813","86,48307187",655,Torre,-8.044982837,-34.90996987,201.0721813,TORRE
Sao Francisco De Assis,Praça,Rua Vale Do Siriji /R Vale Do Jaguaribe/ R Soldado Jose Vivancio,122084.0,,Praça São Francisco de Assis,"573,533752","109,3540125",736,Varzea,-8.036490888,-34.9757881,573.533752,VARZEA
Tamarindo,Praça,Rua Engenho Firmeza / Rua Engenho Timbi / Rua Engenho Tabare / Rua Engenho Segredo,122092.0,,Praça Tamarindo,"672,8242585","98,44684556",884,Cohab,-8.114388946,-34.9501783,672.8242585,COHAB
Da Rua Tenente João Mauricio Campos,Praça,Rua Tenente Joao Mauricio Campos / Rua Capitao Luiz Dorneles,122114.0,,Praça  João Maurício Campos,"411,5547959","134,6410842",884,Cohab,-8.121774812,-34.94565974,411.5547959,COHAB
Artur Lima Cavalcanti,Praça,Avenida Prefeito Artur Lima Cavalcanti,122130.0,,Praça Artur Lima Cavalcanti,"1223,656693","149,7739247",108,Santo Amaro,-8.045358016,-34.874266,1223.656693,SANTO AMARO
Da Trv José Leite,Praça,Travessa Jose Leite,122149.0,,Praça da travessa José Leite,"94,73465903","53,02123994",248,Pina,-8.089403777,-34.88886883,94.73465903,PINA
Luiz Americo Willians,Praça,Rua Engenho Belo Prado / Rua Engenho Bom Mirar/R Engenhoc Serra Grande/ Rua Engenho Flor Do Bosque,122157.0,,Praça Luiz Americo Willians,"668,46137","99,29821226",884,Cohab,-8.113285082,-34.95039008,668.46137,COHAB
Joao Rique,Praça,Rua  Joao Rique/Rua Lucilo Varejao/ Rua Des Oscar Coutinho,122165.0,,Praça João Rique,"1415,597416","176,4593521",698,Iputinga,-8.032167777,-34.93204838,1415.597416,IPUTINGA
Jose Maria Do Nascimento Paraiba/ Do Lixão,Praça,Rua Juparana / Rua Codajas / Avenida Valenca,122181.0,,Praça José Maria do Nascimento Paraíba/Lixão,"1618,617645","160,8836723",884,Cohab,-8.119127435,-34.95361817,1618.617645,COHAB
Da Rua Abc,Praça,Rua Abc / Rua Aprigio Alves,122190.0,,Praça da rua ABC,"390,8697151","82,34457549",779,Afogados,-8.082779575,-34.91067924,390.8697151,AFOGADOS
Santa Luzia,Praça,Rua Lupianopolis / Rua Mandaguacu / Rua Manduri / Rua Rio Paracatu,122211.0,,Praca Santa Luzia,"638,0745256","99,45096145",884,Cohab,-8.115719677,-34.95500836,638.0745256,COHAB
Brasilit,Praça,Rua Engenheiro Vasconcelos Bittencourt/ Rua Abatia,122220.0,,Praça Brasilit,"1259,280586","198,3804616",736,Varzea,-8.041706266,-34.95026367,1259.280586,VARZEA
Sabere,Praça,Rua Emeterio Maciel/ Rua Frutuoso Gomes/Trv Frutuoso Gomes,122238.0,,Praça Sabere,"427,7241101","93,5564935",736,Varzea,-8.03727147,-34.95239724,427.7241101,VARZEA
Quitéria,Praça,Rua Joao Francisco Lisboa/Rua Michael Felix Karan/Rua Quiteria,122246.0,,Praça Quitéria,"2407,262041","228,9815356",736,Varzea,-8.052537548,-34.95636268,2407.262041,VARZEA
Carmela Dutra/ Ipiranga,Praça,Rua General Souza Doca/Rua General Guimaraes Cova,122254.0,,Praça Carmela Dutra/Ipiranga,"8145,441642","385,1943452",779,Afogados,-8.078167137,-34.91432807,8145.441642,AFOGADOS
Isabel Cabral,Praça,Rua Vicente Ribeiro De Barros/Rua Luis De Franca Da Costa Cabral,122262.0,,Praça Isabel Cabral,"618,9778664","115,0839779",779,Afogados,-8.080062722,-34.91913278,618.9778664,AFOGADOS
Joaquim Cardoso/ Da Biblioteca,Praça,Rua Francisco Uchoa/Rua Prof Augusto Wanderley Filho/Rua Jacira,122270.0,,Praça Joaquim Cardoso/da Biblioteca,"1912,802965","177,4047017",779,Afogados,-8.082177592,-34.9080519,1912.802965,AFOGADOS
Joao Miguel De Souza Junior I,Praça,R Valdemar Falcao / Avenida Visconde De Sao Leopoldo/R Dom Joao Moura/Trv Valdemar Falcao,122289.0,,Praça João Miguel de Souza Junior,"1176,006711","162,9060915",710,Engenho Do Meio,-8.058880804,-34.94576938,1176.006711,ENGENHO DO MEIO
Joao Miguel De Souza Junior Ii,Praça,Rua Dom Joao Moura/ Trv Valdemar Falcao/ R Jose Dos Santos/Avenida Visconde De Sao Leopoldo,122289.0,,Praça João Miguel de Souza Junior,"460,6567781","116,6631501",710,Engenho Do Meio,-8.059468402,-34.94566536,460.6567781,ENGENHO DO MEIO
Sitio Das Palmeiras,Praça,Rua  Alvaro Texeirade Mesquita/ Rua Bom Pastor /Rua Presidente Washington Luiz,122297.0,,Praça Sítio das Palmeiras,"3579,992972","269,5430054",710,Engenho Do Meio,-8.051317352,-34.93922838,3579.992972,ENGENHO DO MEIO
Maria Sampaio Lucena,Praça,Avenida Pernambuco / Rua Santa Maria Madalena,122300.0,,Praça Maria Sampaio Lucena,"1188,66719","139,9206339",884,Cohab,-8.120939851,-34.94593532,1188.66719,COHAB
Paulo Freire,Praça,Avenida Beira Rio /Rua Demostenes De Olinda,119830.0,,Praça Paulo Freire,"587,5754442","103,4770385",647,Madalena,-8.04977648,-34.90498149,587.5754442,MADALENA
Do Finado Leiteiro,Praça,Rua Serra Bonga / Rua Parintins / Rua Sabara / Rua Paulista,122122.0,,Praça do Finado Leiteiro,"1204,455279","135,7920931",884,Cohab,-8.120234711,-34.94726276,1204.455279,COHAB
Dr Arnaldo Assunção,Parque,Rua Antonio Borges Uchoa/ Rua Antonio Curado/ R Manuel Alves Deusdara / R Governador Lopo Garro,122173.0,,Parque Doutor Arnaldo Assunção,"28171,22471","659,1388628",710,Engenho Do Meio,-8.057223142,-34.94285155,28171.22471,ENGENHO DO MEIO
Coronel Silva Torres,Praça,Rua Coronel Silva Torres (Area Militar),122793.0,,Praça Coronel Silva Torres,"302,6148758","89,10786573",140,Derby,-8.053406687,-34.90355401,302.6148758,DERBY
Da Rua Cordislândia,Praça,Avenida Marechal Cordeiro De Farias/ Rua Cordislandia/ R Cristovao Cavalcanti,122327.0,,Praça da Rua Cordislândia,"683,1630116","138,716029",698,Iputinga,-8.039633133,-34.93494625,683.1630116,IPUTINGA
Da Alegria,Praça,Rua Des Cunha Barreto/ Rua Da Alegria,122335.0,,Praça da Alegria,"87,27662495","33,36986985",86,Boa Vista,-8.063708519,-34.88698962,87.27662495,BOA VISTA
Da Comunidade,Praça,Rua Rio Indaia / Rua Rio Parnaiba / Rua Rio Juruena / Rua Rio Tapajos,122343.0,,Praça da Comunidade,"1202,348231","134,2352612",884,Cohab,-8.116194218,-34.94763521,1202.348231,COHAB
Forte Do Brum,Praça,Avenida Militar,122360.0,,Praça do Forte do Brum,"2525,816098","299,3225987",19,Recife,-8.052791938,-34.87148251,2525.816098,RECIFE
Cívica,Praça,Rua Alexandre Moura/ Avenida Cruz Cabuga,122351.0,,Praça Cívica,"3865,769456","228,128454",108,Santo Amaro,-8.046881037,-34.87599171,3865.769456,SANTO AMARO
Do Escorrego,Praça,Avenida Pernambuco / Rua Rio Arinos / Rua Rio Indaia / Rua Rio Caqueta,122378.0,,Praça do Escorrego,"1268,806039","138,3767645",884,Cohab,-8.11750539,-34.94688157,1268.806039,COHAB
Estevão De Sá,Praça,Avenida Caxanga/ Rua Caxanga Agape,122394.0,,Praça Estevão de Sá,"923,9800845","146,1293509",736,Varzea,-8.036645069,-34.94648015,923.9800845,VARZEA
Da Rua Caxanga Agape,Praça,Avenida Caxanga/Rua Caxanga Agape,122386.0,,Praça da Rua Caxangá Agape,"3628,343617","372,8035613",736,Varzea,-8.036157479,-34.94740386,3628.343617,VARZEA
Herois Da Restauração/ Do Buraco,Praça,Rua Caja/Rua Oiticica Lins/Rua Calumbi /Rua Ipojuca,122424.0,,Praça Herois da Restauração /do Buraco,"9903,512185","391,5153268",850,Areias,-8.097417499,-34.93563583,9903.512185,AREIAS
Cristo Rei,Praça,Rua Sao Fidelis / Rua Diamantino / Rua Joanesia / Rua Marlieria,122416.0,,Praça Cristo Rei,"964,3012094","120,0130238",884,Cohab,-8.120631578,-34.95473409,964.3012094,COHAB
Engenho Poeta / Do Rotary,Praça,Avenida Caxanga/ Rua Pedro Lund,122408.0,,Praça Engenho Poeta/do Rotary,"4659,485191","473,7125944",736,Varzea,-8.034238461,-34.95088649,4659.485191,VARZEA
